frame_id,x,y,z,saglik,kaynak,islem_suresi_s
0,0.043039,0.033768,-0.010876,1,echo,0.0481
1,0.062658,-0.010485,-0.004293,1,echo,0.0365
2,0.085792,-0.043582,-0.000488,1,echo,0.0416
3,0.110156,-0.067663,0.000788,1,echo,0.0345
4,0.133466,-0.084864,-0.000215,1,echo,0.0359
5,0.153440,-0.097325,-0.003250,1,echo,0.0371
6,0.167793,-0.107184,-0.008068,1,echo,0.0468
7,0.171558,-0.118178,-0.014151,1,echo,0.0451
8,0.170140,-0.123788,-0.021984,1,echo,0.0473
9,0.154090,-0.136205,-0.030863,1,echo,0.0471
10,0.121991,-0.163263,-0.040789,1,echo,0.0480
11,0.075927,-0.203539,-0.050259,1,echo,0.0447
12,0.015778,-0.252287,-0.058458,1,echo,0.0466
13,-0.064550,-0.313264,-0.065689,1,echo,0.0466
14,-0.167965,-0.388080,-0.072673,1,echo,0.0358
15,-0.291015,-0.476199,-0.078896,1,echo,0.0448
16,-0.437241,-0.574936,-0.084495,1,echo,0.0443
17,-0.609078,-0.685663,-0.089546,1,echo,0.0453
18,-0.805777,-0.811908,-0.094499,1,echo,0.0482
19,-1.029194,-0.945168,-0.098916,1,echo,0.0447
20,-1.278658,-1.092039,-0.101824,1,echo,0.0358
21,-1.558551,-1.260804,-0.102538,1,echo,0.0372
22,-1.858289,-1.448401,-0.100661,1,echo,0.0389
23,-2.191860,-1.643616,-0.095796,1,echo,0.0373
24,-2.551207,-1.851191,-0.088461,1,echo,0.0374
25,-2.937003,-2.076026,-0.078440,1,echo,0.0442
26,-3.346632,-2.317136,-0.066439,1,echo,0.0443
27,-3.775642,-2.567275,-0.053323,1,echo,0.0436
28,-4.216785,-2.831325,-0.039802,1,echo,0.0516
29,-4.688993,-3.105920,-0.027888,1,echo,0.0465
30,-5.182736,-3.394576,-0.018332,1,echo,0.0455
31,-5.705556,-3.708889,-0.010717,1,echo,0.0466
32,-6.257983,-4.045292,-0.004986,1,echo,0.0357
33,-6.823559,-4.394139,-0.000334,1,echo,0.0385
34,-7.423053,-4.773501,0.003159,1,echo,0.0366
35,-8.052523,-5.164817,0.005945,1,echo,0.0374
36,-8.698315,-5.563729,0.008447,1,echo,0.0466
37,-9.352332,-5.974757,0.011359,1,echo,0.0474
38,-10.025132,-6.404707,0.014539,1,echo,0.0465
39,-10.693400,-6.836937,0.018084,1,echo,0.0458
40,-11.339512,-7.266991,0.021419,1,echo,0.0463
41,-12.007486,-7.699441,0.024070,1,echo,0.0452
42,-12.679045,-8.133877,0.026715,1,echo,0.0456
43,-13.358178,-8.581540,0.029392,1,echo,0.0463
44,-14.047646,-9.032727,0.032497,1,echo,0.0468
45,-14.742114,-9.495438,0.035822,1,echo,0.0353
46,-15.471956,-9.981302,0.038924,1,echo,0.0359
47,-16.195010,-10.453295,0.042073,1,echo,0.0357
48,-16.919871,-10.939049,0.045324,1,echo,0.0374
49,-17.645626,-11.439893,0.048531,1,echo,0.0388
50,-18.366551,-11.940228,0.051921,1,echo,0.0348
51,-19.070817,-12.441669,0.055399,1,echo,0.0376
52,-19.772493,-12.941297,0.058324,1,echo,0.0350
53,-20.487686,-13.460075,0.060984,1,echo,0.0389
54,-21.209234,-13.979271,0.063938,1,echo,0.0385
55,-21.931971,-14.508645,0.067538,1,echo,0.0387
56,-22.660293,-15.054522,0.071789,1,echo,0.0378
57,-23.396852,-15.610024,0.075485,1,echo,0.0383
58,-24.137670,-16.163869,0.078910,1,echo,0.0366
59,-24.858874,-16.714290,0.082466,1,echo,0.0392
60,-25.573115,-17.280318,0.086195,1,echo,0.0370
61,-26.272754,-17.839891,0.090046,1,echo,0.0373
62,-26.955224,-18.397353,0.094285,1,echo,0.0334
63,-27.644438,-18.970456,0.098775,1,echo,0.0347
64,-28.327956,-19.548519,0.103828,1,echo,0.0321
65,-28.997466,-20.136042,0.109691,1,echo,0.0410
66,-29.670806,-20.723814,0.115260,1,echo,0.0403
67,-30.332689,-21.311144,0.120734,1,echo,0.0418
68,-30.983368,-21.902971,0.126073,1,echo,0.0396
69,-31.631181,-22.492783,0.129501,1,echo,0.0312
70,-32.266225,-23.090423,0.131480,1,echo,0.0352
71,-32.894404,-23.702016,0.131572,1,echo,0.0350
72,-33.515766,-24.326103,0.129608,1,echo,0.0313
